"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\api\auth-service.dart", "Dart", -67, 0, -5, -72
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\api\training-log-service.dart", "Dart", -28, 0, -7, -35
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\api\training-routine-service.dart", "Dart", -42, 0, -10, -52
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\api\training-session-service.dart", "Dart", -29, 0, -7, -36
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\api\user-service.dart", "Dart", -25, 0, -4, -29
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\auth_screen.dart", "Dart", -266, 0, -18, -284
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\form_handler.dart", "Dart", -36, -1, -6, -43
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\authentication_button.dart", "Dart", -43, 0, -2, -45
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\authentication_form.dart", "Dart", -34, 0, -6, -40
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\custom_text_field.dart", "Dart", -82, 0, -9, -91
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\error_dialog.dart", "Dart", -38, 0, -2, -40
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\gym_diary_logo.dart", "Dart", -12, 0, -2, -14
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\logo_section.dart", "Dart", -19, 0, -2, -21
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\auth\widgets\social_icons_field.dart", "Dart", -30, 0, -2, -32
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\config\get_it_config.dart", "Dart", 10, 0, 3, 13
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_log\training_log_bloc.dart", "Dart", 31, 0, 5, 36
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_log\training_log_event.dart", "Dart", 9, 0, 5, 14
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_log\training_log_state.dart", "Dart", 8, 0, 6, 14
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_routine\training_routine_bloc.dart", "Dart", 38, 0, 8, 46
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_routine\training_routine_event.dart", "Dart", 10, 0, 6, 16
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_routine\training_routine_state.dart", "Dart", 10, 0, 8, 18
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_session\training_session_bloc.dart", "Dart", 49, 0, 7, 56
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_session\training_session_event.dart", "Dart", 10, 0, 6, 16
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\training_session\training_session_state.dart", "Dart", 9, 0, 6, 15
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\bloc\user_cubit.dart", "Dart", 27, 0, 6, 33
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\models\exercise.dart", "Dart", 26, 0, 2, 28
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\models\training_log.dart", "Dart", 23, 1, 2, 26
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\models\training_routine.dart", "Dart", 23, 0, 5, 28
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\models\training_session.dart", "Dart", 20, 0, 2, 22
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\services\auth_service.dart", "Dart", 84, 0, 9, 93
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\services\training_log_service.dart", "Dart", 41, 0, 8, 49
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\services\training_routine_service.dart", "Dart", 47, 0, 12, 59
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\data\services\training_session_service.dart", "Dart", 64, 0, 8, 72
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\home-page.dart", "Dart", -36, 0, -3, -39
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\progress-tracker.dart", "Dart", -47, 0, -4, -51
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\recent-training-sessions-display.dart", "Dart", -113, 0, -7, -120
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\recent-workouts-header.dart", "Dart", -75, 0, -7, -82
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\user-training-routines.dart", "Dart", -65, 0, -9, -74
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\user-welcome-panel.dart", "Dart", -89, 0, -9, -98
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main-dashboard.dart\widgets\workout-count.dart", "Dart", -43, 0, -3, -46
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\main.dart", "Dart", 3, 0, 0, 3
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\model\exercise.dart", "Dart", -24, 0, -3, -27
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\model\training-routine.dart", "Dart", -23, 0, -5, -28
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\model\training-session.dart", "Dart", -20, 0, -2, -22
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\model\training_log.dart", "Dart", -23, -1, -2, -26
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\navi-bar\navigation_bottom-bar.dart", "Dart", -121, 0, -10, -131
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\settings\settings-page.dart", "Dart", -13, 0, -3, -16
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\token\token_receiver.dart", "Dart", 12, 0, 2, 14
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-creator\training-routine-creator-page.dart", "Dart", -67, 0, -7, -74
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-creator\widgets\add-exercise-button.dart", "Dart", -94, 0, -8, -102
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-creator\widgets\back-button.dart", "Dart", -23, 0, -4, -27
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-creator\widgets\dismissible-exercise.dart", "Dart", -196, 0, -9, -205
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-creator\widgets\dismissible-routine-form.dart", "Dart", -196, 0, -17, -213
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-creator\widgets\submit-button.dart", "Dart", -115, 0, -10, -125
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\training-routine-page.dart", "Dart", -141, -1, -6, -148
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\widgets\training-routine-card.dart", "Dart", -40, 0, -4, -44
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-routine\widgets\training-routine-detail-dialog.dart", "Dart", -138, 0, -5, -143
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\exercise-controllers.dart", "Dart", -67, 0, -11, -78
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\training-session-creator-page.dart", "Dart", -37, -1, -7, -45
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\exercise-card-builder.dart", "Dart", -111, 0, -9, -120
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\exercise-set-row.dart", "Dart", -119, 0, -8, -127
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\finish-workout-button.dart", "Dart", -53, 0, -3, -56
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\routine-exercises-displayer.dart", "Dart", -91, 0, -14, -105
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\routine-name-displayer.dart", "Dart", -32, 0, -5, -37
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\timer-display-widget.dart", "Dart", -40, 0, -3, -43
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-creator\widgets\workout-summary.dart", "Dart", -25, 0, -3, -28
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-details\training-session-detail-page.dart", "Dart", -81, 0, -7, -88
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-details\widgets\back-button.dart", "Dart", -44, 0, -2, -46
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-details\widgets\training-log-card.dart", "Dart", -90, 0, -5, -95
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-details\widgets\training-log-list.dart", "Dart", -31, 0, -9, -40
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\training-session\training-session-page.dart", "Dart", 0, 0, -1, -1
"c:\Users\kryst\IdeaProjects\GymTracker_MobileApp\gym_tracker_flutter\lib\ui\auth\auth_page.dart", "Dart", 142, 0, 11, 153
