"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\auth\widgets\gym_diary_logo.dart", "Dart", 12, 0, 2, 14
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\auth\widgets\logo_section.dart", "Dart", 19, 0, 2, 21
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\auth\widgets\short_description.dart", "Dart", 48, 0, 6, 54
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\auth\widgets\social_icons_field.dart", "Dart", 30, 0, 2, 32
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\home_page.dart", "Dart", 108, 0, 13, 121
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\widgets\progress_tracker.dart", "Dart", 66, 0, 7, 73
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\widgets\recent_training_sessions-display.dart", "Dart", 179, 0, 17, 196
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\widgets\recent_workouts_header.dart", "Dart", 76, 0, 8, 84
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\widgets\user-training-routines.dart", "Dart", 74, 0, 10, 84
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\widgets\user_training_routines.dart", "Dart", 74, 0, 10, 84
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\widgets\user_welcome_panel.dart", "Dart", 100, 0, 11, 111
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\main_dashboard\widgets\workout_count.dart", "Dart", 71, 1, 7, 79
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\navi_bar\navigation_bottom_bar.dart", "Dart", 111, 0, 13, 124
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\progres_tracker\progress_tracker.dart", "Dart", 0, 48, 5, 53
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\progres_tracker\widgets\action_buttons-row.dart", "Dart", 23, 0, 4, 27
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\progres_tracker\widgets\progress_chart.dart", "Dart", 136, 7, 19, 162
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\progres_tracker\widgets\progress_log_list.dart", "Dart", 21, 0, 4, 25
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\settings_page.dart", "Dart", 56, 0, 6, 62
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\account_view.dart", "Dart", 44, 0, 2, 46
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\notifications_view.dart", "Dart", 70, 0, 3, 73
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\payments_view.dart", "Dart", 29, 0, 2, 31
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\profile_menu\profile_view.dart", "Dart", 92, 0, 4, 96
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\profile_menu\screens\change_avatar_page.dart", "Dart", 26, 0, 2, 28
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\profile_menu\screens\change_email_page.dart", "Dart", 64, 0, 3, 67
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\profile_menu\screens\change_password_page.dart", "Dart", 84, 0, 3, 87
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\profile_menu\screens\change_username_page.dart", "Dart", 62, 0, 3, 65
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\profile_menu\screens\delete_account_page.dart", "Dart", 48, 0, 4, 52
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\profile_menu\widgets\profile_options_tile.dart", "Dart", 27, 0, 4, 31
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\account_menu\screens\security_view.dart", "Dart", 81, 0, 3, 84
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\settings_menu\screens\about_page.dart", "Dart", 42, 0, 3, 45
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\settings_menu\screens\apperance_page.dart", "Dart", 52, 0, 3, 55
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\settings_menu\screens\help_support_page.dart", "Dart", 127, 0, 9, 136
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\settings_menu\screens\logout_page.dart", "Dart", 74, 0, 4, 78
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\settings_menu\screens\privacy_page.dart", "Dart", 55, 0, 2, 57
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\sub_menu\settings_menu\settings_view.dart", "Dart", 51, 0, 2, 53
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\widgets\custom_header.dart", "Dart", 99, 0, 5, 104
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\widgets\menu_button.dart", "Dart", 42, 0, 4, 46
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\widgets\menu_switch.dart", "Dart", 34, 0, 4, 38
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\settings\widgets\settings_tile.dart", "Dart", 29, 0, 3, 32
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\training_routine_creator\training_routine_creator_page.dart", "Dart", 72, 0, 7, 79
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\training_routine_creator\widgets\add_exercise_button.dart", "Dart", 104, 0, 12, 116
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\training_routine_creator\widgets\back_button.dart", "Dart", 23, 0, 4, 27
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\training_routine_creator\widgets\dismissible_exercise.dart", "Dart", 158, 0, 15, 173
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\training_routine_creator\widgets\dismissible_routine_form.dart", "Dart", 202, 0, 15, 217
"c:\Users\kryst\Projects\gym_tracker_flutter\lib\ui\training-routine\training_routine_creator\widgets\submit_button.dart", "Dart", 146, 0, 19, 165
